ord,ecs,f1x,f1y,f1z
3.0,3.921011118290203,0.0,0.0,0.0
4.0,3.9210129630597237,0.0,0.0,0.0
5.0,3.9210129630597237,0.0,0.0,0.0
6.0,3.9210129630601243,0.0,0.0,0.0
7.0,3.9210129630601243,0.0,0.0,0.0
8.0,3.9210129630601243,0.0,0.0,0.0
9.0,3.9210129630601243,0.0,0.0,0.0
10.0,3.9210129630601243,0.0,0.0,0.0
11.0,3.9210129630601243,0.0,0.0,0.0
12.0,3.9210129630601243,0.0,0.0,0.0
13.0,3.9210129630601243,0.0,0.0,0.0
14.0,3.9210129630601243,0.0,0.0,0.0
15.0,3.9210129630601243,0.0,0.0,0.0
16.0,3.9210129630601243,0.0,0.0,0.0
